match_id,date,season,innings_number,batting_team,bowling_team,runs,wickets,overs
1537342,2026-07-25,2026,1,Colombo Kaps,Dambulla Sixers,197,5,20.0
1537342,2026-07-25,2026,2,Dambulla Sixers,Colombo Kaps,176,8,20.0
1324522,2022-12-07,2022/23,1,Galle Gladiators,Kandy Falcons,121,8,20.0
1324522,2022-12-07,2022/23,2,Kandy Falcons,Galle Gladiators,123,5,15.0
1238771,2020-12-11,2020/21,1,Dambulla Viiking,Colombo Kings,203,3,20.0
1238771,2020-12-11,2020/21,2,Colombo Kings,Dambulla Viiking,205,5,18.5
1238767,2020-12-09,2020/21,1,Jaffna Stallions,Kandy Tuskers,150,10,20.0
1238767,2020-12-09,2020/21,2,Kandy Tuskers,Jaffna Stallions,151,4,19.1
1324534,2022-12-17,2022/23,1,Colombo Stars,Kandy Falcons,106,10,19.1
1324534,2022-12-17,2022/23,2,Kandy Falcons,Colombo Stars,108,1,16.0
1382878,2023-07-30,2023,1,Jaffna Kings,Colombo Strikers,173,5,20.0
1382878,2023-07-30,2023,2,Colombo Strikers,Jaffna Kings,152,10,19.4
1382897,2023-08-15,2023,1,Colombo Strikers,Galle Titans,74,10,15.4
1382897,2023-08-15,2023,2,Galle Titans,Colombo Strikers,75,2,8.3
1291209,2021-12-14,2021/22,1,Kandy Warriors,Colombo Stars,146,9,20.0
1291209,2021-12-14,2021/22,2,Colombo Stars,Kandy Warriors,150,5,19.4
1291198,2021-12-07,2021/22,1,Dambulla Giants,Jaffna Kings,110,10,19.3
1291198,2021-12-07,2021/22,2,Jaffna Kings,Dambulla Giants,114,2,12.3
1428479,2024-07-18,2024,1,Jaffna Kings,Galle Marvels,177,7,20.0
1428479,2024-07-18,2024,2,Galle Marvels,Jaffna Kings,181,3,18.1
1428480,2024-07-18,2024,1,Colombo Strikers,Kandy Falcons,159,8,20.0
1428480,2024-07-18,2024,2,Kandy Falcons,Colombo Strikers,163,8,18.4
1382881,2023-08-01,2023,1,Jaffna Kings,Dambulla Aura,129,7,20.0
1382881,2023-08-01,2023,2,Dambulla Aura,Jaffna Kings,132,2,16.2
1537339,2026-07-23,2026,1,Colombo Kaps,Kandy Royals,192,9,20.0
1537339,2026-07-23,2026,2,Kandy Royals,Colombo Kaps,169,8,20.0
1428459,2024-07-01,2024,1,Dambulla Sixers,Kandy Falcons,179,4,20.0
1428459,2024-07-01,2024,2,Kandy Falcons,Dambulla Sixers,183,4,17.2
1324538,2022-12-19,2022/23,1,Galle Gladiators,Dambulla Aura,129,8,20.0
1324538,2022-12-19,2022/23,2,Dambulla Aura,Galle Gladiators,134,6,14.2
1291205,2021-12-11,2021/22,1,Dambulla Giants,Colombo Stars,138,9,20.0
1291205,2021-12-11,2021/22,2,Colombo Stars,Dambulla Giants,137,8,20.0
1428475,2024-07-14,2024,1,Jaffna Kings,Colombo Strikers,109,9,20.0
1428475,2024-07-14,2024,2,Colombo Strikers,Jaffna Kings,112,1,9.5
1428463,2024-07-03,2024,1,Galle Marvels,Colombo Strikers,179,10,20.0
1428463,2024-07-03,2024,2,Colombo Strikers,Galle Marvels,172,9,20.0
1291213,2021-12-17,2021/22,1,Galle Gladiators,Jaffna Kings,129,8,20.0
1291213,2021-12-17,2021/22,2,Jaffna Kings,Galle Gladiators,109,10,18.3
1537335,2026-07-19,2026,1,Kandy Royals,Colombo Kaps,179,10,20.0
1537335,2026-07-19,2026,2,Colombo Kaps,Kandy Royals,182,5,19.4
1537334,2026-07-19,2026,1,Dambulla Sixers,Jaffna Kings,130,10,19.3
1537334,2026-07-19,2026,2,Jaffna Kings,Dambulla Sixers,133,5,19.0
1291212,2021-12-16,2021/22,1,Dambulla Giants,Kandy Warriors,130,10,20.0
1291212,2021-12-16,2021/22,2,Kandy Warriors,Dambulla Giants,135,4,19.2
1428462,2024-07-03,2024,1,Dambulla Sixers,Jaffna Kings,191,2,20.0
1428462,2024-07-03,2024,2,Jaffna Kings,Dambulla Sixers,197,6,20.0
1291195,2021-12-05,2021/22,1,Galle Gladiators,Jaffna Kings,164,7,20.0
1291195,2021-12-05,2021/22,2,Jaffna Kings,Galle Gladiators,110,10,18.4
1428474,2024-07-14,2024,1,Galle Marvels,Dambulla Sixers,148,9,20.0
1428474,2024-07-14,2024,2,Dambulla Sixers,Galle Marvels,148,7,20.0
1428474,2024-07-14,2024,3,Dambulla Sixers,Galle Marvels,6,2,0.5
1428474,2024-07-14,2024,4,Galle Marvels,Dambulla Sixers,12,0,0.4
1324542,2022-12-23,2022/23,1,Colombo Stars,Jaffna Kings,163,5,20.0
1324542,2022-12-23,2022/23,2,Jaffna Kings,Colombo Stars,164,8,19.2
1291204,2021-12-11,2021/22,1,Galle Gladiators,Kandy Warriors,127,7,20.0
1291204,2021-12-11,2021/22,2,Kandy Warriors,Galle Gladiators,131,5,18.4
1324539,2022-12-21,2022/23,1,Kandy Falcons,Jaffna Kings,143,8,20.0
1324539,2022-12-21,2022/23,2,Jaffna Kings,Kandy Falcons,98,3,11.0
1382880,2023-07-31,2023,1,Colombo Strikers,B-Love Kandy,157,6,20.0
1382880,2023-07-31,2023,2,B-Love Kandy,Colombo Strikers,130,8,20.0
1537338,2026-07-22,2026,1,Galle Gallants,Dambulla Sixers,178,8,20.0
