date,season,venue,team1,team2,winner,toss_winner,toss_decision
['2020-11-26'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Kandy Tuskers,Colombo Kings,,Colombo Kings,field
['2020-11-27'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Galle Gladiators,Jaffna Stallions,Jaffna Stallions,Galle Gladiators,bat
['2020-11-28'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Dambulla Viiking,Kandy Tuskers,Dambulla Viiking,Kandy Tuskers,field
['2020-11-28'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Colombo Kings,Galle Gladiators,Colombo Kings,Galle Gladiators,field
['2020-11-30'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Jaffna Stallions,Dambulla Viiking,Jaffna Stallions,Dambulla Viiking,field
['2020-11-30'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Kandy Tuskers,Galle Gladiators,Kandy Tuskers,Galle Gladiators,field
['2020-12-01'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Dambulla Viiking,Colombo Kings,Dambulla Viiking,Dambulla Viiking,bat
['2020-12-01'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Jaffna Stallions,Kandy Tuskers,Jaffna Stallions,Jaffna Stallions,bat
['2020-12-03'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Galle Gladiators,Jaffna Stallions,Jaffna Stallions,Galle Gladiators,bat
['2020-12-03'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Kandy Tuskers,Dambulla Viiking,Dambulla Viiking,Kandy Tuskers,bat
['2020-12-04'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Jaffna Stallions,Colombo Kings,Colombo Kings,Colombo Kings,field
['2020-12-05'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Dambulla Viiking,Galle Gladiators,Dambulla Viiking,Dambulla Viiking,bat
['2020-12-05'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Kandy Tuskers,Colombo Kings,Colombo Kings,Kandy Tuskers,bat
['2020-12-07'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Colombo Kings,Galle Gladiators,Galle Gladiators,Colombo Kings,bat
['2020-12-07'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Dambulla Viiking,Jaffna Stallions,,Jaffna Stallions,field
['2020-12-09'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Jaffna Stallions,Kandy Tuskers,Kandy Tuskers,Jaffna Stallions,bat
['2020-12-09'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Galle Gladiators,Dambulla Viiking,Dambulla Viiking,Dambulla Viiking,field
['2020-12-10'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Colombo Kings,Jaffna Stallions,Colombo Kings,Jaffna Stallions,field
['2020-12-10'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Kandy Tuskers,Galle Gladiators,Galle Gladiators,Galle Gladiators,field
['2020-12-11'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Dambulla Viiking,Colombo Kings,Colombo Kings,Colombo Kings,field
['2020-12-13'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Colombo Kings,Galle Gladiators,Galle Gladiators,Galle Gladiators,field
['2020-12-14'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Jaffna Stallions,Dambulla Viiking,Jaffna Stallions,Dambulla Viiking,field
['2020-12-16'],2020/21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Jaffna Stallions,Galle Gladiators,Jaffna Stallions,Jaffna Stallions,bat
['2021-12-05'],2021/22,"R Premadasa Stadium, Colombo",Galle Gladiators,Jaffna Kings,Galle Gladiators,Jaffna Kings,field
['2021-12-06'],2021/22,"R Premadasa Stadium, Colombo",Dambulla Giants,Kandy Warriors,Dambulla Giants,Dambulla Giants,bat
['2021-12-06'],2021/22,"R Premadasa Stadium, Colombo",Galle Gladiators,Colombo Stars,Colombo Stars,Galle Gladiators,bat
['2021-12-07'],2021/22,"R Premadasa Stadium, Colombo",Dambulla Giants,Jaffna Kings,Jaffna Kings,Dambulla Giants,bat
['2021-12-07'],2021/22,"R Premadasa Stadium, Colombo",Kandy Warriors,Galle Gladiators,Galle Gladiators,Kandy Warriors,bat
['2021-12-08'],2021/22,"R Premadasa Stadium, Colombo",Dambulla Giants,Colombo Stars,Dambulla Giants,Dambulla Giants,bat
['2021-12-08'],2021/22,"R Premadasa Stadium, Colombo",Jaffna Kings,Kandy Warriors,Jaffna Kings,Kandy Warriors,field
['2021-12-10'],2021/22,"R Premadasa Stadium, Colombo",Dambulla Giants,Galle Gladiators,,Dambulla Giants,bat
['2021-12-10'],2021/22,"R Premadasa Stadium, Colombo",Jaffna Kings,Colombo Stars,Jaffna Kings,Colombo Stars,field
['2021-12-11'],2021/22,"R Premadasa Stadium, Colombo",Galle Gladiators,Kandy Warriors,Kandy Warriors,Galle Gladiators,bat
['2021-12-11'],2021/22,"R Premadasa Stadium, Colombo",Dambulla Giants,Colombo Stars,Dambulla Giants,Dambulla Giants,bat
['2021-12-12'],2021/22,"R Premadasa Stadium, Colombo",Kandy Warriors,Jaffna Kings,Jaffna Kings,Jaffna Kings,field
